Country,Doses Administered,Doses per 1000,Fully Vaccinated Population (%),Vaccine being used in a country
World,12936466983,1703.5,65.89,
China,3440524000,2470.3,91.23,"CanSino, IMBCAMS, KCONVAC, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001"
India,2197978762,1625.0,70.27,"Corbevax, Covaxin, Novavax, Oxford/AstraZeneca, Sputnik V"
United States,616172307,1883.4,68.77,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
Brazil,473127683,2258.7,82.28,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Indonesia,437022061,1632.7,63.74,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
Japan,334615548,2644.6,81.36,"Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Bangladesh,325402861,2016.7,77.06,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
Pakistan,300602631,1416.5,62.26,"CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
Vietnam,258223943,2702.8,87.76,"Abdala, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Mexico,209673612,1661.6,63.35,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
Germany,187878955,2265.6,76.56,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Valneva"
Russia,181063313,1240.7,53.37,"EpiVacCorona, Sputnik V"
Philippines,163734141,1535.2,68.21,"Covaxin, Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V"
Iran,154329909,1837.4,69.55,"CanSino, Covaxin, COVIran Barekat, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Soberana02, Sputnik Light, Sputnik V"
Turkey,152475057,1852.2,64.59,"Pfizer/BioNTech, Sinovac, Turkovac"
United Kingdom,151248820,2274.8,76.32,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,150055693,2240.1,79.22,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Thailand,142635014,2054.4,77.04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
Italy,142277198,2354.4,79.38,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
South Korea,129553455,2509.0,86.56,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Argentina,110066537,2473.7,85.08,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Egypt,98019706,957.8,38.47,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V"
Spain,95763061,2049.6,87.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Canada,93233715,2515.8,85.4,"Johnson&Johnson, Medicago, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Colombia,87566541,1763.7,73.48,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Peru,84498736,2641.5,88.3,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Malaysia,72221332,2241.0,85.4,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
Saudi Arabia,67701901,2009.0,74.96,"Oxford/AstraZeneca, Pfizer/BioNTech"
